Id,Text,Class
0,"Обустройство тротуаров, мостовых (в том числе тротуарной плиткой).",H
1693,Альменс - это муниципалитет в районе Хинтеррайн в швейцарском кантоне Граубе 1 \ / 4 нден.,H
3397,Я видел ключ в номере.,M
5113,В городе наблюдается повышенная концентрация оксида азота. Это наблюдается в городе.,M
6791,Сингапур незамедлительно призвал к международному признанию его суверенитета.,M
8423,Какой успех представляет Мещанское устройство?,M
10065,"Кто-то из-за скз анонимно прокомментировал, написав, что Йени все равно выглядит красивее я",M
11745,Он информирует Nation с помощью сообщения.,M
13391,"ровано В настоящее время школа обеспечивает стабильное и устойчивое функционирование учебного процесса, а также создает благоприятные условия для дальнейшего его развития.",M
15087,"Король Марк, в действительности, стал региональным господином, правившим на относительно маленькой территории в западной Македонии.",M
16767,Том сидел тихо полчаса.,M
18490,", а затем в 2006 году они совершили несколько краж и аферы. По данным правоохранительных властей, они промышляли фальшивыми сертификатами на сумму от 100 миллионов долларов.",M
20146,"В воскресенье в столице будет жарко, местами до +12°.",M
21814,У Дм<итрия> грипп.,H
23448,Я пообещал ему сохранить это в секрете.,H
25144,"А тогда, будучи студентом МВТУ, я жил в общежитии в Лефортово.",H
26791,"Известно также, что на самом деле в этом случае речь шла о неких «прогрессивных» реформах – так называемом процессе модернизации.
Но и этот вариант был отвергнут как несостоятельный ввиду очевидного несоответствия его сути тем задачам реформы образования (какой именно?), которые ставились перед правительством во времена правления Николая I… А между прочим! Это же было время высочайшего расцвета отечественной педагогики!… И вот теперь нам предлагают отказаться от этих реформ?… Нет уж лучше мы откажемся сами!»[3 - Введение ЕГЭ: итоги эксперимента // Российская академия народного хозяйства при Правительстве Российской Федерации; http://www-",M
28521,Никогда не говори неправду!,H
30168,"Январь AA I <половина> —319.    
«Пищепромреклама» — 99.10.",H
31834,"Его характеризуют как невежественного, слабоумного, акцентируют его нелюбовь к России.",H
33546,Сколько цветов вы купили?,M
35250,Найди слово в словаре.,M
36914,Летом действует один причал.,H
38556,"Получили противогазы «БС», и лишь тогда стало понятно, что все это готовится для военных действий.",H
40234,"В России количество новых выявленных случаев коронавируса за сутки уже неделю держится на уровне до 8 тыс., свидетельствуют данные оперштаба. Тем временем в Москве начался новый этап снятия ограничений: в столице открылись фитнес-клубы, кафе и рестораны.",H
41898,"Теплая вода течет по желобам на внутренней стороне реки.  ==<s]И еще я мечтаЮ съесть, а она чего-нибудь долго не идет",M
43526,"Я размышляю о том, как распределять средства.",M
45228,"Я приехал в Эквадор, когда мне было восемь лет.",M
46940,"Но оскорбленная Зоечка ему с сердцем: -- Сперва заслужите, нарвите купавок.",H
48553,Он был вынужден так поступить.,H
50237,"разработка комплексных мер для развития сельских территорий, включающих модернизацию системы теплоснабжения, водоснабжение канализации ) поселений ленинского сельсовета Ульяновской области.",M
51862,"АБУ-ДАБИ.
Внимание! В связи с изменением законодательства РФ и внесением соответствующих изменений в ПДД, а также принятием нормативных актов ГИБДД России на территории республики Башкортостан (далее - регионы) при использовании транспортного средства необходимо соблюдать следующие правила:1.. На автомобильном транспорте допускается перевозить людей только до тех пор пока не будет превышен допустимый вес человека или багажа для каждого типа транспортных средств;2. При проезде через железнодорожные станции следует предъявлять билет установленной формы о прохождении контроля по форме 086/у ""Табель учета пассажиров"";3, за исключением случаев проезда детей младше 7 лет включительно согласно пп 1 ст 5 Закона РБ от 29 декабря 2006 г.; 4 ; 6 : 3 )).5);7 ), 9), 10 ).11;; Для автобусов разрешён беспересадочный проезд между двумя станциями независимо друг друга без высадки пассажира со стороны одного из них;.12.);13):14))(см.: Закон Республики Башкирия № 218 «О безопасности дорожного движения»//Собрание законов РБ., 2007 год.).15)))104.), 129.) 138а — бб – дд = 146с + 16лмнч=16000 лвт*1000 мкв·км²×10000 км–200% квотной доли площади автотрасса+20%, 20 %—для грузовых автомобилей 15%.17)- 18з − 19и (-19к−30г­р.-32гг†42 гг ‡ 43 годы 40 годов 50х 60е 70ые 80 90 е 000000 000 ед.– 200%).",M
53571,Status of these persons is governed «Законом о иностранных» (Закон о иностранных) 1993 года.,M
55174,Этот яблоко очень красный.,M
56797,"Ельцин, находящийся в Свердловске, объявил, что Попцов снят со своего поста и на его место назначен Сагалаев.",H
58436,Мэннинг играл в американский футбол в университете Миссисипи после окончания средней школы в школе Исидора Ньюмана в Новом Орлеане.,H
60096,"После окончания войн в Европе против наполеоновской Франции правительство Александра I смогло активизировать свои действия на Кавказе, сосредоточив там значительные военные ресурсы. В 1816 году командиром Отдельного Грузинского корпуса и управляющим гражданской частью в Грузии, Астраханской и Кавказской губерниях был назначен генерал Алексей Ермолов. Он предложил план покорения горного Кавказа, который предусматривал отказ от тактики карательных экспедиций в пользу регулярной осады горных районов путём прорубки широких просек в лесах, прокладки дорог и создания оборонительных линий из форпостов и крепостей. Враждебно настроенные аулы должны были предаваться разрушению, сжигаться дотла, а население подлежало переселению на равнину под надзор русских войск.",H
61761,В данной локации уже разворачивали пункт вакцинации – он работал минувшим летом.,H
63349,недостаточный уровень внедрения в деятельность органов исполнительной власти и органов местного самоуправления информационно-коммуникационных технологий.,H
65017,У каждого из нас своя осень.,H
66682,к) публичное акционерное общество «Северное речное пароходство» («Нижняя Тойма - Верхняя Тойма»);,H
68331,"Некоторые латинские алфавиты оказали влияние на написание других языков, использующих латинскую графику.",M
69993,"По данным переписи населения 2000 года в округе проживает 12 367 жителей в составе 4430 домашних хозяйств и 3313 семей. Плотность населения составляет 12,00 человек на км2. На территории округа насчитывается 5 142 жилых строений, при плотности застройки около 5,00-ти строений на км2. Расовый состав населения: белые — 94,44 %, афроамериканцы — 3,70 %, коренные американцы (индейцы) — 0,38 %, азиаты — 0,11 %, гавайцы — 0,02 %, представители других рас — 0,19 %, представители двух или более рас — 1,15 %. Испаноязычные составляли 1,12 % населения независимо от расы.",H
71617,"не буду ничего говорить про Казань, чтоб не сказать лишнего на эмоциях",H
73349,"Рилузол не излечивает повреждение, уже нанесенное двигательным нейронам, и пациенты, принимающие препарат, должны находиться под наблюдением на предмет повреждения печени и других побочных эффектов.",H
75020,"Кроме того, держатели карты смогут воспользоваться скидками от платежной системы Visa на услуги по всему миру, включая рестораны, такси, бронирование отелей и многое другое.",H
76655,"Специальная авиация предназначена для нанесения ударов по наземным целям, а также в ночное время суток. Она может использоваться как самостоятельно так и на базе транспортных средств (автомобилей).
Для того что бы стать пилотом спецтехники необходимо пройти обучение или получить соответствующее образование с предоставлением специального допуска к действиям авиации при проведении боевых действий во внутренних конфликтах. Обучение проходит под контролем Министерства Обороны РФ после сдачи теоретического экзамена, который проводится летной школой ВВС России(на земле) либо непосредственно перед началом выполнения задания.(при наличии соответствующего образования ).",M
78297,"Слава Богу, живы Рязанов, Бакланов, недавно, лет десять назад, здесь появилась Виктория Токарева.",H
